artist,date,rank,title,weeks
Soundtrack,2017-03-04,1,Fifty Shades Darker,1
Bruno Mars,2017-03-04,2,24K Magic,2
Big Sean,2017-03-04,3,I Decided,1
Migos,2017-03-04,4,Culture,1
The Weeknd,2017-03-04,5,Starboy,1
Adele,2017-03-04,6,25,1
Soundtrack,2017-03-04,7,Trolls,3
Lady GaGa,2017-03-04,8,Joanne,1
Beyoncé,2017-03-04,9,Lemonade,1
Soundtrack,2017-03-04,10,La La Land,2
Post Malone,2017-03-04,11,Stoney,6
Joy Villa,2017-03-04,12,I Make The Static (ep),12
Twenty One Pilots,2017-03-04,13,Blurryface,1
Soundtrack,2017-03-04,14,Moana,2
Drake,2017-03-04,15,Views,1
Reba McEntire,2017-03-04,16,Sing It Now: Songs Of Faith & Hope,4
Original Broadway Cast Recording,2017-03-04,17,Hamilton: An American Musical,3
Brett Young,2017-03-04,18,Brett Young,18
Various Artists,2017-03-04,19,2017 Grammy Nominees,16
Various Artists,2017-03-04,20,"The Rca-list, Volume 4",10
Rihanna,2017-03-04,21,ANTI,1
Chance The Rapper,2017-03-04,22,Coloring Book,8
Keith Urban,2017-03-04,23,Ripcord,4
Garth Brooks,2017-03-04,24,The Ultimate Collection,6
Brantley Gilbert,2017-03-04,25,The Devil Don't Sleep,2
Maren Morris,2017-03-04,26,Hero,5
The Chainsmokers,2017-03-04,27,Collage,6
Lupe Fiasco,2017-03-04,28,Drogas Light,28
Various Artists,2017-03-04,29,Now 61,5
J. Cole,2017-03-04,30,4 Your Eyez Only,1
Travis Scott,2017-03-04,31,Birds In The Trap Sing McKnight,1
Red Hot Chili Peppers,2017-03-04,32,The Getaway,2
Prince,2017-03-04,33,4Ever,33
Kehlani,2017-03-04,34,SweetSexySavage,3
Metallica,2017-03-04,35,Hardwired...To Self-Destruct,1
Rae Sremmurd,2017-03-04,36,Sremmlife 2,4
Lady GaGa,2017-03-04,37,The Fame,2
The Weeknd,2017-03-04,38,Beauty Behind The Madness,1
Soundtrack,2017-03-04,39,Suicide Squad - The Album,1
Ariana Grande,2017-03-04,40,Dangerous Woman,2
Chris Stapleton,2017-03-04,41,Traveller,1
Shawn Mendes,2017-03-04,42,Illuminate,1
Andrew McMahon In The Wilderness,2017-03-04,43,Zombies On Broadway,43
Sturgill Simpson,2017-03-04,44,A Sailor's Guide To Earth,3
Ed Sheeran,2017-03-04,45,X,1
Panic! At The Disco,2017-03-04,46,Death Of A Bachelor,1
21 Savage,2017-03-04,47,Savage Mode,23
Jon Bellion,2017-03-04,48,The Human Condition,5
Various Artists,2017-03-04,49,Epic Lit,27
Sia,2017-03-04,50,This Is Acting,4
Justin Bieber,2017-03-04,51,Purpose,1
Adele,2017-03-04,52,21,1
Drake,2017-03-04,53,Take Care,1
Kanye West,2017-03-04,54,The Life Of Pablo,1
Jason Aldean,2017-03-04,55,They Don't Know,1
James Arthur,2017-03-04,56,Back From The Edge,52
Twenty One Pilots,2017-03-04,57,Vessel,21
Thomas Rhett,2017-03-04,58,Tangled Up,6
Lukas Graham,2017-03-04,59,Lukas Graham,26
Kelsea Ballerini,2017-03-04,60,The First Time,31
BTS,2017-03-04,61,You Never Walk Alone,61
Bryson Tiller,2017-03-04,62,T R A P S O U L,8
Marian Hill,2017-03-04,63,Act One,42
Alessia Cara,2017-03-04,64,Know-it-all,9
Bob Marley,2017-03-04,65,Legend: The Best Of Bob Marley And The Wailers,5
Florida Georgia Line,2017-03-04,66,Dig Your Roots,2
PnB Rock,2017-03-04,67,Gttm: Goin Thru The Motions,28
J. Cole,2017-03-04,68,2014 Forest Hills Drive,1
Overkill,2017-03-04,69,The Grinding Wheel,69
Childish Gambino,2017-03-04,70,"Awaken, My Love!",5
Journey,2017-03-04,71,Greatest Hits,18
Bruno Mars,2017-03-04,72,Doo-wops & Hooligans,3
John Legend,2017-03-04,73,Darkness And Light,14
Soundtrack,2017-03-04,74,Sing,8
Kidz Bop Kids,2017-03-04,75,Kidz Bop 3,6
G-Eazy,2017-03-04,76,When It's Dark Out,5
Gucci Mane,2017-03-04,77,The Return Of East Atlanta Santa,16
Train,2017-03-04,78,A Girl A Bottle A Boat,8
Sam Hunt,2017-03-04,79,Montevallo,3
Lil Uzi Vert,2017-03-04,80,Lil Uzi Vert Vs. The World,37
Melanie Martinez,2017-03-04,81,Cry Baby,6
Kevin Gates,2017-03-04,82,Islah,2
A Tribe Called Quest,2017-03-04,83,We Got It From Here... Thank You 4 Your Service,1
Eminem,2017-03-04,84,The Eminem Show,12
Luke Bryan,2017-03-04,85,Kill The Lights,1
Miranda Lambert,2017-03-04,86,The Weight Of These Wings,3
Halsey,2017-03-04,87,Badlands,2
Drake,2017-03-04,88,If You're Reading This It's Too Late,1
The Lumineers,2017-03-04,89,Cleopatra,1
Anderson .Paak,2017-03-04,90,Malibu,79
Kendrick Lamar,2017-03-04,91,"Good Kid, M.A.A.D City",2
Lauren Daigle,2017-03-04,92,How Can It Be,28
Future,2017-03-04,93,DS2,1
6Lack,2017-03-04,94,Free 6lack,68
Jon Pardi,2017-03-04,95,California Sunrise,11
Metallica,2017-03-04,96,Metallica (The Black Album),51
Kari Jobe,2017-03-04,97,The Garden,22
Beyoncé,2017-03-04,98,Beyoncé,1
Queen,2017-03-04,99,Greatest Hits I Ii & Iii: The Platinum Collection,72
D.R.A.M.,2017-03-04,100,Big Baby D.r.a.m.,19
Big Sean,2017-02-25,1,I Decided,1
Lady GaGa,2017-02-25,2,Joanne,1
Migos,2017-02-25,3,Culture,1
Reba McEntire,2017-02-25,4,Sing It Now: Songs Of Faith & Hope,4
The Weeknd,2017-02-25,5,Starboy,1
Lady GaGa,2017-02-25,6,The Fame,2
Bruno Mars,2017-02-25,7,24K Magic,2
Original Broadway Cast,2017-02-25,8,Dear Evan Hansen,8
Post Malone,2017-02-25,9,Stoney,6
Various Artists,2017-02-25,10,"The Rca-list, Volume 4",10
Soundtrack,2017-02-25,11,La La Land,2
Brantley Gilbert,2017-02-25,12,The Devil Don't Sleep,2
Original Broadway Cast Recording,2017-02-25,13,Hamilton: An American Musical,3
Soundtrack,2017-02-25,14,Trolls,3
Drake,2017-02-25,15,Views,1
Soundtrack,2017-02-25,16,Moana,2
Kehlani,2017-02-25,17,SweetSexySavage,3
Twenty One Pilots,2017-02-25,18,Blurryface,1
Various Artists,2017-02-25,19,Now 61,5
Rihanna,2017-02-25,20,ANTI,1
Adele,2017-02-25,21,25,1
Kari Jobe,2017-02-25,22,The Garden,22
J. Cole,2017-02-25,23,4 Your Eyez Only,1
The Chainsmokers,2017-02-25,24,Collage,6
Lady GaGa,2017-02-25,25,Born This Way ,1
Travis Scott,2017-02-25,26,Birds In The Trap Sing McKnight,1
Rae Sremmurd,2017-02-25,27,Sremmlife 2,4
Ariana Grande,2017-02-25,28,Dangerous Woman,2
Chris Stapleton,2017-02-25,29,Traveller,1
Alessia Cara,2017-02-25,30,Know-it-all,9
Various Artists,2017-02-25,31,2017 Grammy Nominees,16
Soundtrack,2017-02-25,32,Suicide Squad - The Album,1
Beyoncé,2017-02-25,33,Lemonade,1
Panic! At The Disco,2017-02-25,34,Death Of A Bachelor,1
21 Savage,2017-02-25,35,Savage Mode,23
Shawn Mendes,2017-02-25,36,Illuminate,1
Various Artists,2017-02-25,37,Epic Lit,27
Jon Bellion,2017-02-25,38,The Human Condition,5
Keith Urban,2017-02-25,39,Ripcord,4
Chance The Rapper,2017-02-25,40,Coloring Book,8
Garth Brooks,2017-02-25,41,The Ultimate Collection,6
The Lumineers,2017-02-25,42,Cleopatra,1
Marian Hill,2017-02-25,43,Act One,42
Sia,2017-02-25,44,This Is Acting,4
The Weeknd,2017-02-25,45,Beauty Behind The Madness,1
Justin Bieber,2017-02-25,46,Purpose,1
Bryson Tiller,2017-02-25,47,T R A P S O U L,8
Train,2017-02-25,48,A Girl A Bottle A Boat,8
G-Eazy,2017-02-25,49,When It's Dark Out,5
Kanye West,2017-02-25,50,The Life Of Pablo,1
Sampha,2017-02-25,51,Process,51
James Arthur,2017-02-25,52,Back From The Edge,52
Ed Sheeran,2017-02-25,53,X,1
Young Dolph,2017-02-25,54,Gelato,54
Childish Gambino,2017-02-25,55,"Awaken, My Love!",5
Eminem,2017-02-25,56,The Eminem Show,12
Thomas Rhett,2017-02-25,57,Tangled Up,6
Twenty One Pilots,2017-02-25,58,Vessel,21
PnB Rock,2017-02-25,59,Gttm: Goin Thru The Motions,28
Gucci Mane,2017-02-25,60,The Return Of East Atlanta Santa,16
J. Cole,2017-02-25,61,2014 Forest Hills Drive,1
Metallica,2017-02-25,62,Hardwired...To Self-Destruct,1
Florida Georgia Line,2017-02-25,63,Dig Your Roots,2
Lil Uzi Vert,2017-02-25,64,Lil Uzi Vert Vs. The World,37
Sam Hunt,2017-02-25,65,Montevallo,3
Melanie Martinez,2017-02-25,66,Cry Baby,6
The Menzingers,2017-02-25,67,After The Party,67
Luke Bryan,2017-02-25,68,Kill The Lights,1
Kidz Bop Kids,2017-02-25,69,Kidz Bop 3,6
Eminem,2017-02-25,70,Curtain Call: The Hits,1
Drake,2017-02-25,71,Take Care,1
Halsey,2017-02-25,72,Badlands,2
Queen,2017-02-25,73,Greatest Hits I Ii & Iii: The Platinum Collection,72
Kevin Gates,2017-02-25,74,Islah,2
Syd,2017-02-25,75,Fin,75
Kendrick Lamar,2017-02-25,76,"Good Kid, M.A.A.D City",2
Drake,2017-02-25,77,If You're Reading This It's Too Late,1
John Legend,2017-02-25,78,Darkness And Light,14
Red Hot Chili Peppers,2017-02-25,79,The Getaway,2
Jason Aldean,2017-02-25,80,They Don't Know,1
Future,2017-02-25,81,DS2,1
Maren Morris,2017-02-25,82,Hero,5
Lauren Daigle,2017-02-25,83,How Can It Be,28
6Lack,2017-02-25,84,Free 6lack,68
Bob Marley,2017-02-25,85,Legend: The Best Of Bob Marley And The Wailers,5
Jon Pardi,2017-02-25,86,California Sunrise,11
Adele,2017-02-25,87,21,1
