artist,date,rank,title,weeks
Luis Fonsi,2017-07-08,1,Despacito,1
DJ Khaled,2017-07-08,2,I'm The One,1
Bruno Mars,2017-07-08,3,That's What I Like,1
DJ Khaled,2017-07-08,4,Wild Thoughts,4
Ed Sheeran,2017-07-08,5,Shape Of You,1
Kendrick Lamar,2017-07-08,6,Humble.,1
Future,2017-07-08,7,Mask Off,5
Post Malone,2017-07-08,8,Congratulations,8
The Chainsmokers,2017-07-08,9,Something Just Like This,3
Zedd,2017-07-08,10,Stay,7
Imagine Dragons,2017-07-08,11,Believer,11
Lil Uzi Vert,2017-07-08,12,XO Tour Llif3,7
Sam Hunt,2017-07-08,13,Body Like A Back Road,6
Childish Gambino,2017-07-08,14,Redbone,14
Julia Michaels,2017-07-08,15,Issues,11
French Montana,2017-07-08,16,Unforgettable,16
James Arthur,2017-07-08,17,Say You Won't Let Go,11
Kygo,2017-07-08,18,It Ain't Me,10
Shawn Mendes,2017-07-08,19,There's Nothing Holdin' Me Back,18
Selena Gomez,2017-07-08,20,Bad Liar,20
Halsey,2017-07-08,21,Now Or Never,20
Miley Cyrus,2017-07-08,22,Malibu,10
Ed Sheeran,2017-07-08,23,Castle On The Hill,6
Niall Horan,2017-07-08,24,Slow Hands,24
Charlie Puth,2017-07-08,25,Attention,25
Kyle,2017-07-08,26,iSpy,4
Ayo,2017-07-08,27,Rolex,20
David Guetta,2017-07-08,28,2U,16
Playboi Carti,2017-07-08,29,Magnolia,29
Khalid,2017-07-08,30,Location,16
Jason DeRulo,2017-07-08,31,Swalla,29
Brett Young,2017-07-08,32,In Case You Didn't Know,19
The Chainsmokers,2017-07-08,33,Closer,1
Liam Payne,2017-07-08,34,Strip That Down,34
Migos,2017-07-08,35,Slippery,35
Kendrick Lamar,2017-07-08,36,DNA.,4
YFN Lucci,2017-07-08,37,Everyday We Lit,37
Migos,2017-07-08,38,Bad And Boujee,1
Travis Scott,2017-07-08,39,Goosebumps,32
Bruno Mars,2017-07-08,40,24K Magic,4
A Boogie Wit Da Hoodie,2017-07-08,41,Drowning,41
Harry Styles,2017-07-08,42,Sign Of The Times,4
Luke Combs,2017-07-08,43,Hurricane,31
Kodak Black,2017-07-08,44,Tunnel Vision,6
Alessia Cara,2017-07-08,45,Scars To Your Beautiful,8
Florida Georgia Line,2017-07-08,46,"God, Your Mama, And Me",46
Migos,2017-07-08,47,T-shirt,19
Drake,2017-07-08,48,Passionfruit,8
Calvin Harris,2017-07-08,49,Slide,25
Keith Urban,2017-07-08,50,The Fighter,38
Calvin Harris,2017-07-08,51,Feels,51
Tee Grizzley,2017-07-08,52,First Day Out,52
Thomas Rhett,2017-07-08,53,Craving You,52
Camila Cabello,2017-07-08,54,Crying In The Club,47
2 Chainz,2017-07-08,55,4 AM,55
Dylan Scott,2017-07-08,56,My Girl,56
Lady GaGa,2017-07-08,57,The Cure,39
2 Chainz,2017-07-08,58,It's A Vibe,58
Blake Shelton,2017-07-08,59,Every Time I Hear That Song,59
Xxxtentacion,2017-07-08,60,Look At Me!,34
Kodak Black,2017-07-08,61,First Day Out,61
Kendrick Lamar,2017-07-08,62,Love.,18
Maluma,2017-07-08,63,Felices Los 4,63
Midland,2017-07-08,64,Drinkin' Problem,64
Dan + Shay,2017-07-08,65,How Not To,57
Chris Brown,2017-07-08,66,Privacy,66
Lady Antebellum,2017-07-08,67,You Look Good,59
Logic,2017-07-08,68,1-800-273-8255,47
Kendrick Lamar,2017-07-08,69,Loyalty.,14
2 Chainz X Gucci Mane X Quavo,2017-07-08,70,Good Drank,70
Maroon 5,2017-07-08,71,Cold,16
Drake,2017-07-08,72,Portland,9
Cole Swindell,2017-07-08,73,Flatliner,72
AJR,2017-07-08,74,Weak,73
Dustin Lynch,2017-07-08,75,Small Town Boy,75
Darius Rucker,2017-07-08,76,If I Told You,53
Cheat Codes,2017-07-08,77,No Promises,74
DJ Khaled,2017-07-08,78,To The Max,53
Fifth Harmony,2017-07-08,79,Down,42
Old Dominion,2017-07-08,80,No Such Thing As A Broken Heart,78
SZA,2017-07-08,81,Love Galore,70
Rascal Flatts,2017-07-08,82,Yours If You Want It,75
Young Thug,2017-07-08,83,Relationship,83
Katy Perry,2017-07-08,84,Swish Swish,46
Imagine Dragons,2017-07-08,85,Thunder,70
Russ,2017-07-08,86,Losin Control,62
The Weeknd,2017-07-08,87,Reminder,31
Zac Brown Band,2017-07-08,88,My Old Man,68
Portugal. The Man,2017-07-08,89,Feel It Still,89
Kane Brown,2017-07-08,90,What Ifs,90
Hailee Steinfeld,2017-07-08,91,Most Girls,75
Justin Moore,2017-07-08,92,Somebody Else Will,91
Billy Currington,2017-07-08,93,Do I Make You Wanna,79
Playboi Carti,2017-07-08,94,Woke Up Like This,76
Travis Scott,2017-07-08,95,Butterfly Effect,81
Wisin,2017-07-08,96,Escapate Conmigo,89
Trey Songz,2017-07-08,97,Nobody Else But You,92
Enrique Iglesias,2017-07-08,98,Súbeme La Radio,81
Brothers Osborne,2017-07-08,99,It Ain't My Fault,99
Plies,2017-07-08,100,Real Hitta,100
Luis Fonsi,2017-07-01,1,Despacito,1
DJ Khaled,2017-07-01,2,I'm The One,1
Bruno Mars,2017-07-01,3,That's What I Like,1
Ed Sheeran,2017-07-01,4,Shape Of You,1
Kendrick Lamar,2017-07-01,5,Humble.,1
Future,2017-07-01,6,Mask Off,5
The Chainsmokers,2017-07-01,7,Something Just Like This,3
Zedd,2017-07-01,8,Stay,7
Post Malone,2017-07-01,9,Congratulations,9
Lil Uzi Vert,2017-07-01,10,XO Tour Llif3,7
Sam Hunt,2017-07-01,11,Body Like A Back Road,6
James Arthur,2017-07-01,12,Say You Won't Let Go,11
Julia Michaels,2017-07-01,13,Issues,11
Childish Gambino,2017-07-01,14,Redbone,14
Imagine Dragons,2017-07-01,15,Believer,13
David Guetta,2017-07-01,16,2U,16
Kygo,2017-07-01,17,It Ain't Me,10
French Montana,2017-07-01,18,Unforgettable,17
Shawn Mendes,2017-07-01,19,There's Nothing Holdin' Me Back,18
Halsey,2017-07-01,20,Now Or Never,20
Ed Sheeran,2017-07-01,21,Castle On The Hill,6
Kyle,2017-07-01,22,iSpy,4
Selena Gomez,2017-07-01,23,Bad Liar,23
Niall Horan,2017-07-01,24,Slow Hands,24
Miley Cyrus,2017-07-01,25,Malibu,10
Ayo,2017-07-01,26,Rolex,20
Charlie Puth,2017-07-01,27,Attention,27
Khalid,2017-07-01,28,Location,16
Harry Styles,2017-07-01,29,Sign Of The Times,4
Jason DeRulo,2017-07-01,30,Swalla,29
Brett Young,2017-07-01,31,In Case You Didn't Know,19
Kendrick Lamar,2017-07-01,32,DNA.,4
Playboi Carti,2017-07-01,33,Magnolia,33
The Chainsmokers,2017-07-01,34,Closer,1
Migos,2017-07-01,35,Bad And Boujee,1
Migos,2017-07-01,36,Slippery,36
YFN Lucci,2017-07-01,37,Everyday We Lit,37
Travis Scott,2017-07-01,38,Goosebumps,32
Bruno Mars,2017-07-01,39,24K Magic,4
Kodak Black,2017-07-01,40,Tunnel Vision,6
Migos,2017-07-01,41,T-shirt,19
A Boogie Wit Da Hoodie,2017-07-01,42,Drowning,41
Luke Combs,2017-07-01,43,Hurricane,31
Liam Payne,2017-07-01,44,Strip That Down,42
Drake,2017-07-01,45,Passionfruit,8
Calvin Harris,2017-07-01,46,Slide,25
Keith Urban,2017-07-01,47,The Fighter,38
Lady GaGa,2017-07-01,48,The Cure,39
Alessia Cara,2017-07-01,49,Scars To Your Beautiful,8
Rae Sremmurd,2017-07-01,50,Swang,26
Florida Georgia Line,2017-07-01,51,"God, Your Mama, And Me",50
Thomas Rhett,2017-07-01,52,Craving You,52
DJ Khaled,2017-07-01,53,To The Max,53
Xxxtentacion,2017-07-01,54,Look At Me!,34
Camila Cabello,2017-07-01,55,Crying In The Club,47
Tee Grizzley,2017-07-01,56,First Day Out,56
Dan + Shay,2017-07-01,57,How Not To,57
Kendrick Lamar,2017-07-01,58,Love.,18
Lady Antebellum,2017-07-01,59,You Look Good,59
Dylan Scott,2017-07-01,60,My Girl,60
Blake Shelton,2017-07-01,61,Every Time I Hear That Song,61
Katy Perry,2017-07-01,62,Swish Swish,46
Darius Rucker,2017-07-01,63,If I Told You,53
Maroon 5,2017-07-01,64,Cold,16
Maluma,2017-07-01,65,Felices Los 4,65
