artist,date,genre,release_date,title
Bebe Rexha,2018-02-12T19:44:22-08:00,Pop,": August 11, 2017",Meant to Be (feat. Florida Georgia Line)
Drake,2018-02-12T19:44:22-08:00,Hip Hop / Rap,": January 19, 2018",God's Plan
Ed Sheeran,2018-02-12T19:44:22-08:00,Pop,": March 3, 2017",Perfect
"Zedd, Maren Morris & Grey",2018-02-12T19:44:22-08:00,Dance,": January 23, 2018",The Middle
Bruno Mars,2018-02-12T19:44:22-08:00,R&B / Soul,": January 4, 2018",Finesse (Remix) [feat. Cardi B]
Camila Cabello,2018-02-12T19:44:22-08:00,Pop,": August 3, 2017",Havana (feat. Young Thug)
Jason Aldean,2018-02-12T19:44:22-08:00,Country,": January 26, 2018",You Make It Easy
Justin Timberlake,2018-02-12T19:44:22-08:00,Pop,": January 25, 2018",Say Something (feat. Chris Stapleton)
"The Weeknd, Kendrick Lamar",2018-02-12T19:44:22-08:00,Hip Hop / Rap,": February 2, 2018",Pray For Me
NF,2018-02-12T19:44:22-08:00,Hip Hop / Rap,": October 6, 2017",Let You Down
Imagine Dragons,2018-02-12T19:44:22-08:00,Alternative,": April 27, 2017",Thunder
Carrie Underwood,2018-02-12T19:44:22-08:00,Pop,": January 12, 2018",The Champion (feat. Ludacris)
Thomas Rhett,2018-02-12T19:44:22-08:00,Country,": September 8, 2017",Marry Me
Eminem,2018-02-12T19:44:22-08:00,Hip Hop / Rap,": December 15, 2017",River (feat. Ed Sheeran)
"Kendrick Lamar, SZA",2018-02-12T19:44:22-08:00,Hip Hop / Rap,": January 4, 2018",All The Stars
Camila Cabello,2018-02-12T19:44:22-08:00,Pop,": December 7, 2017",Never Be the Same
Imagine Dragons,2018-02-12T19:44:22-08:00,Alternative,": May 9, 2017",Whatever It Takes
Daryle Singletary,2018-02-12T19:44:22-08:00,Country,": May 20, 1995",I Let Her Lie
Kane Brown,2018-02-12T19:44:22-08:00,Country,": October 6, 2017",Heaven
Coldplay,2018-02-12T19:44:22-08:00,Alternative,": May 16, 2014",O (Hidden Track)
Maroon 5,2018-02-12T19:44:22-08:00,Pop,": November 3, 2017",Wait
Chris Stapleton,2018-02-12T19:44:22-08:00,Country,": May 5, 2017",Broken Halos
Bazzi,2018-02-12T19:44:22-08:00,Pop,": October 12, 2017",Mine
Portugal. The Man,2018-02-12T19:44:22-08:00,Alternative,": March 3, 2017",Feel It Still
Post Malone,2018-02-12T19:44:22-08:00,Hip Hop / Rap,": September 15, 2017",rockstar (feat. 21 Savage)
Drake,2018-02-12T19:44:22-08:00,Hip Hop / Rap,": January 19, 2018",God's Plan
Charlie Puth,2018-02-12T19:44:22-08:00,Pop,": October 5, 2017",How Long
Post Malone,2018-02-12T19:44:22-08:00,Hip Hop / Rap,": December 9, 2016",I Fall Apart
