artist,end_date,rank,start_date,streams,title
Drake,2016-12-30,1,2016-12-23,8618267,Fake Love
Migos,2016-12-30,2,2016-12-23,7946032,Bad and Boujee (feat. Lil Uzi Vert)
The Weeknd,2016-12-30,3,2016-12-23,7738517,Starboy
Rae Sremmurd,2016-12-30,4,2016-12-23,6209336,Black Beatles
The Chainsmokers,2016-12-30,5,2016-12-23,5813157,Closer
Aminé,2016-12-30,6,2016-12-23,4865290,Caroline
Machine Gun Kelly,2016-12-30,7,2016-12-23,4701860,Bad Things (with Camila Cabello)
ZAYN,2016-12-30,8,2016-12-23,4512436,"I Don?�t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)"""
J. Cole,2016-12-30,9,2016-12-23,4357980,Deja Vu
DRAM,2016-12-30,10,2016-12-23,4320878,Broccoli (feat. Lil Yachty)
Big Sean,2016-12-30,11,2016-12-23,4235799,Bounce Back
The Weeknd,2016-12-30,12,2016-12-23,4084928,I Feel It Coming
Bruno Mars,2016-12-30,13,2016-12-23,3737222,24K Magic
Maroon 5,2016-12-30,14,2016-12-23,3610039,Don't Wanna Know
Rob $tone,2016-12-30,15,2016-12-23,3536430,Chill Bill
The Weeknd,2016-12-30,16,2016-12-23,3533862,Party Monster
DJ Snake,2016-12-30,17,2016-12-23,3524767,Let Me Love You
21 Savage,2016-12-30,18,2016-12-23,3522942,X (feat. Future)
21 Savage,2016-12-30,19,2016-12-23,3388778,No Heart
Drake,2016-12-30,20,2016-12-23,3327127,One Dance
Hailee Steinfeld,2016-12-30,21,2016-12-23,3237316,Starving
Martin Garrix,2016-12-30,22,2016-12-23,3190431,In the Name of Love
Ariana Grande,2016-12-30,23,2016-12-23,3045002,Side To Side
James Arthur,2016-12-30,24,2016-12-23,2955129,Say You Won't Let Go
Drake,2016-12-30,25,2016-12-23,2947259,Sneakin??
Twenty One Pilots,2016-12-30,26,2016-12-23,2923813,Heathens
J. Cole,2016-12-30,27,2016-12-23,2918783,Neighbors
BobHelms,2016-12-30,28,2016-12-23,2904013,Jingle Bell Rock
Young M.A,2016-12-30,29,2016-12-23,2892468,OOOUUU
Mariah Carey,2016-12-30,30,2016-12-23,2860142,All I Want for Christmas Is You
J. Cole,2016-12-30,31,2016-12-23,2654474,Immortal
The Chainsmokers,2016-12-30,32,2016-12-23,2588867,All We Know
Alessia Cara,2016-12-30,33,2016-12-23,2532172,Scars To Your Beautiful
The Weeknd,2016-12-30,34,2016-12-23,2507806,Six Feet Under
Lil Uzi Vert,2016-12-30,35,2016-12-23,2506950,You Was Right
Steve Aoki,2016-12-30,36,2016-12-23,2477883,Just Hold On
Sia,2016-12-30,37,2016-12-23,2465480,The Greatest
Starley,2016-12-30,38,2016-12-23,2456559,Call On Me - Ryan Riback Extended Remix
Brenda Lee,2016-12-30,39,2016-12-23,2452598,Rockin' Around The Christmas Tree - Single Version
John Legend,2016-12-30,40,2016-12-23,2444898,Love Me Now
Alessia Cara,2016-12-30,41,2016-12-23,2439802,"How Far I'll Go - From ""Moana"""
Chance The Rapper,2016-12-30,42,2016-12-23,2423080,No Problem (feat. Lil Wayne & 2 Chainz)
The Weeknd,2016-12-30,43,2016-12-23,2418348,Sidewalks
KYLE,2016-12-30,44,2016-12-23,2416959,iSpy (feat. Lil Yachty)
Shawn Mendes,2016-12-30,45,2016-12-23,2413471,Mercy
Drake,2016-12-30,46,2016-12-23,2408063,Too Good
Drake,2016-12-30,47,2016-12-23,2349965,Controlla
Childish Gambino,2016-12-30,48,2016-12-23,2216320,Redbone
Rae Sremmurd,2016-12-30,49,2016-12-23,2214045,Swang
Rihanna,2016-12-30,50,2016-12-23,2193824,Needed Me
Major Lazer,2016-12-30,51,2016-12-23,2193406,Cold Water (feat. Justin Bieber & MØ)
Young Thug,2016-12-30,52,2016-12-23,2117622,pick up the phone
The Weeknd,2016-12-30,53,2016-12-23,2107025,Reminder
Clean Bandit,2016-12-30,54,2016-12-23,2083638,Rockabye (feat. Sean Paul & Anne-Marie)
Future,2016-12-30,55,2016-12-23,1998095,Used to This
Bing Crosby,2016-12-30,56,2016-12-23,1941858,White Christmas
Burl Ives,2016-12-30,57,2016-12-23,1918551,A Holly Jolly Christmas - Single Version
Sage The Gemini,2016-12-30,58,2016-12-23,1917102,Now and Later
The Chainsmokers,2016-12-30,59,2016-12-23,1897303,Don't Let Me Down
Zay Hilfigerrr,2016-12-30,60,2016-12-23,1880453,Juju On That Beat (TZ Anthem)
Desiigner,2016-12-30,61,2016-12-23,1873707,Panda
Lil Wayne,2016-12-30,62,2016-12-23,1858437,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)"
Future,2016-12-30,63,2016-12-23,1835764,Low Life
Nat King Cole,2016-12-30,64,2016-12-23,1832889,The Christmas Song (Merry Christmas To You)
J. Cole,2016-12-30,65,2016-12-23,1829109,No Role Modelz
J. Cole,2016-12-30,66,2016-12-23,1818566,Change
Twenty One Pilots,2016-12-30,67,2016-12-23,1817928,Ride
Jon Bellion,2016-12-30,68,2016-12-23,1773788,All Time Low
G-Eazy,2016-12-30,69,2016-12-23,1765323,Some Kind Of Drug
Andy Williams,2016-12-30,70,2016-12-23,1762842,It's the Most Wonderful Time of the Year
Kodak Black,2016-12-30,71,2016-12-23,1759039,Too Many Years
Shawn Mendes,2016-12-30,72,2016-12-23,1748890,Treat You Better
Elvis Presley,2016-12-30,73,2016-12-23,1742396,Blue Christmas
The Weeknd,2016-12-30,74,2016-12-23,1741306,Die For You
Lil Uzi Vert,2016-12-30,75,2016-12-23,1735169,Money Longer
Rihanna,2016-12-30,76,2016-12-23,1734848,Love On The Brain
Drake,2016-12-30,77,2016-12-23,1715446,Jumpman
The Vamps,2016-12-30,78,2016-12-23,1704975,All Night
gnash,2016-12-30,79,2016-12-23,1699443,"i hate u, i love u (feat. olivia o'brien)"
Lil Uzi Vert,2016-12-30,80,2016-12-23,1687925,Erase Your Social
Lil Yachty,2016-12-30,81,2016-12-23,1675605,One Night
A Boogie Wit da Hoodie,2016-12-30,82,2016-12-23,1673553,My Shit
Noah Cyrus,2016-12-30,83,2016-12-23,1670673,Make Me (Cry)
Chuck Berry,2016-12-30,84,2016-12-23,1667411,Run Rudolph Run - Single Version
Bryson Tiller,2016-12-30,85,2016-12-23,1630153,Don't
Post Malone,2016-12-30,86,2016-12-23,1627737,White Iverson
PnB Rock,2016-12-30,87,2016-12-23,1623683,Selfish
AJR,2016-12-30,88,2016-12-23,1612404,Weak
Bryson Tiller,2016-12-30,89,2016-12-23,1611515,Exchange
Frank Sinatra,2016-12-30,90,2016-12-23,1602324,Let It Snow! Let It Snow! Let It Snow!
Petit Biscuit,2016-12-30,91,2016-12-23,1593405,Sunset Lover
J. Cole,2016-12-30,92,2016-12-23,1589331,She's Mine Pt. 1
Nevada,2016-12-30,93,2016-12-23,1581791,The Mack
Ugly God,2016-12-30,94,2016-12-23,1576487,Water
Cashmere Cat,2016-12-30,95,2016-12-23,1574865,Trust Nobody (feat. Selena Gomez & Tory Lanez)
Travis Scott,2016-12-30,96,2016-12-23,1573611,goosebumps
PARTYNEXTDOOR,2016-12-30,97,2016-12-23,1568157,Come and See Me (feat. Drake)
Kodak Black,2016-12-30,98,2016-12-23,1563220,No Flockin
The Chainsmokers,2016-12-30,99,2016-12-23,1559969,Setting Fires
Post Malone,2016-12-30,100,2016-12-23,1559002,Congratulations
Pentatonix,2016-12-30,101,2016-12-23,1554969,Hallelujah
Big Sean,2016-12-30,102,2016-12-23,1552924,Moves
Wham!,2016-12-30,103,2016-12-23,1533510,Last Christmas
J. Cole,2016-12-30,104,2016-12-23,1526656,For Whom The Bell Tolls
J. Cole,2016-12-30,105,2016-12-23,1507015,Ville Mentality
Post Malone,2016-12-30,106,2016-12-23,1500826,Deja Vu
Twenty One Pilots,2016-12-30,107,2016-12-23,1499619,Stressed Out
Adele,2016-12-30,108,2016-12-23,1494002,Water Under the Bridge
J. Cole,2016-12-30,109,2016-12-23,1487692,4 Your Eyez Only
Michael Bublé,2016-12-30,110,2016-12-23,1484163,It's Beginning To Look A Lot Like Christmas
Rihanna,2016-12-30,111,2016-12-23,1474253,Work
The Weeknd,2016-12-30,112,2016-12-23,1473165,True Colors
The Weeknd,2016-12-30,113,2016-12-23,1469047,Secrets
Jon Bellion,2016-12-30,114,2016-12-23,1458277,All Time Low
Big Sean,2016-12-30,115,2016-12-23,1441428,Living Single
Luke Christopher,2016-12-30,116,2016-12-23,1428902,Lot to Learn
Bruno Mars,2016-12-30,117,2016-12-23,1420833,That's What I Like
San Holo,2016-12-30,118,2016-12-23,1399929,Light
Vice,2016-12-30,119,2016-12-23,1395228,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars)
Meek Mill,2016-12-30,120,2016-12-23,1389600,Litty (feat. Tory Lanez)
Fifth Harmony,2016-12-30,121,2016-12-23,1387604,Work from Home
